agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
La Crosse Police Department,"Wisconsin, USA",Youth at Risk Summer Program,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-37.pdf,Submission,pdf,43.8174126,-91.2304673,"Parking Ramp and Police Services, 605 17th St N, La Crosse, WI 54601, USA",ChIJiakbuxA2V0ARcSdcMZPxDAU,"establishment,point_of_interest,police",605,17th Street North,La Crosse,,Wisconsin,La Crosse County,United States,54601
La Crosse Police Department,"Wisconsin, USA",Coon Creek Canoe Race,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-11(F).pdf,Honorable Mention,pdf,43.8174126,-91.2304673,"Parking Ramp and Police Services, 605 17th St N, La Crosse, WI 54601, USA",ChIJiakbuxA2V0ARcSdcMZPxDAU,"establishment,point_of_interest,police",605,17th Street North,La Crosse,,Wisconsin,La Crosse County,United States,54601
Las Cruces Police Department,"New Mexico, USA",One Stop Tobacco Shop,2019,https://popcenter.asu.edu/sites/default/files/19-22_las_cruces_nm_one_stop_tobacco_shop.pdf,Submission,pdf,32.3169329,-106.7781667,"217 E Picacho Ave, Las Cruces, NM 88001, USA",ChIJAQSUvJs93oYRSUWjlyVmC1E,"establishment,local_government_office,point_of_interest,police",217,East Picacho Avenue,Las Cruces,,New Mexico,Doña Ana County,United States,88001
La Vista Police Department,"Nebraska, USA",Quantifying Problem Solving Efforts in Small Agency,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-28.pdf,Submission,pdf,41.1827764,-96.06097,"7701 S 96th St, La Vista, NE 68128, USA",ChIJ182txUmLk4cR0__eCjIEIHc,"establishment,point_of_interest,police",7701,South 96th Street,La Vista,,Nebraska,Sarpy County,United States,68128
Lakeville Police Department,"Minnesota, USA",Conflict Resolution Team,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-33.pdf,Submission,pdf,44.6851313,-93.247913,"9237 183rd St W, Lakeville, MN 55044, USA",ChIJ7zeLZydFzYkRkX9MjttZWt8,"establishment,point_of_interest,police",9237,183rd Street West,Lakeville,,Minnesota,Dakota County,United States,55044
Lakewood Police Department,"Colorado, USA",Graffiti Reduction and Enforcement,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-36.pdf,Submission,pdf,39.7076132,-105.086006,"445 S Allison Pkwy, Lakewood, CO 80226, USA",ChIJhUjMtyOBa4cREHnpCgDBDB0,"establishment,local_government_office,point_of_interest,police",445,South Allison Parkway,Lakewood,,Colorado,Jefferson County,United States,80226
Lakewood Police Department,"Colorado, USA",Collaborative Pawnshop Regulation,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-29.pdf,Submission,pdf,39.7076132,-105.086006,"445 S Allison Pkwy, Lakewood, CO 80226, USA",ChIJhUjMtyOBa4cREHnpCgDBDB0,"establishment,local_government_office,point_of_interest,police",445,South Allison Parkway,Lakewood,,Colorado,Jefferson County,United States,80226
Lakewood Police Department,"Colorado, USA",AntiGraffiti Program,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-12.pdf,Submission,pdf,39.7076132,-105.086006,"445 S Allison Pkwy, Lakewood, CO 80226, USA",ChIJhUjMtyOBa4cREHnpCgDBDB0,"establishment,local_government_office,point_of_interest,police",445,South Allison Parkway,Lakewood,,Colorado,Jefferson County,United States,80226
Lancashire Constabulary,United Kingdom,The Lancashire Vulnerable Callers Project,2017,https://popcenter.asu.edu/sites/default/files/17-02.pdf,Finalist,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Blackpool Night Safe Haven: Keeping You Safe at Night,2013,https://popcenter.asu.edu/sites/default/files/13-25_lancashire_constabulary.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,The Custody Experience:Reducing Firsttime Entrants into the Criminal Justice System,2012,https://popcenter.asu.edu/sites/default/files/12-14_lancashire_preston.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Police and Communities Together,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-13.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Cash in Transit Robberies,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-45.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Smashing Time  or Not,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-12(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Hyndburn Snooker Youth Club,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-10.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Risky Business,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-25.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Buzzy Bee/Just Like Me: Child Road Casualty Reduction,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-03.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Floodlit PACT,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-04.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,ENGAGE: Child Sexual Exploitation,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-05.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Park View 4 U,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-06.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Clare Street AntiSocial Behaviour Initiative,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-08.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation TANCRED: Organised Offences Against the Elderly,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-09.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Trojan,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-10.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Deface,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-11(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Honour,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-24.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,The Burnley Youth Bus,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-25.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Dont Do Damage,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-26.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,MOPPIN Up Dodge,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-27(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Pasture,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-28(W).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Safer Travel Unit,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-29.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Blackburn with Darwen Family Intervention Programme,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-05(W).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Abate,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-22.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Abingdon,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-23(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Awaken,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-24.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Detention,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-25.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Thorpe Close Neighborhood Policing Initiative,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-22(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,An Animal Rights Campaign: Lancashires Response,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-23.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Dynamo,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-24.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Lund Evidence Presentation System,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-25.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Return of the Happy Shopper,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-26.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation SeaQuest,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-27.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Jennys Story: Internet Child Abuse Prevention,2005,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2005/05-06.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Streetwise Soccer,2005,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2005/05-07.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Safer Sex Works,2005,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2005/05-08(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Blackburn with Darwen Families Project,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-19.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Combustion,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-20.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Exhale,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-21.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Gemini,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-22.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,The Hopwood Triangle,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-23(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Mole Hills from Mountains,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-24(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Dawdle,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-25.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,People Perception Project,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-26.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Phoenix Evolution,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-27.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Rhyddings Community Safe Project,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-28.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,The Invisible Menace,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-29.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Fixture,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-55.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Kerb,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-56(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Operation Restore,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-57.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,Putting the Brakes on Lorry Trailer Theft,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-58.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,The Tower Project,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-59(F).pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lancashire Constabulary,United Kingdom,The M.A.N.E.R.S. Project,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-30.pdf,Submission,pdf,53.7647574,-2.7026249,"Lancaster Rd N, Preston PR1 2SA, UK",ChIJJ9FSLXBye0gR-U4XT7OWC9s,"establishment,point_of_interest,police",,Lancaster Road North,,,England,Lancashire,United Kingdom,PR1 2SA
Lansing Police Department,"Michigan, USA",Initiatives That Positively Impact Lansings Youth: An Approach to Dealing With Juveniles,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-20.pdf,Submission,pdf,42.732535,-84.5555347,"Lansing, MI, USA",ChIJN4wxfxzAIogRnp0CiSO2eEM,"locality,political",,,Lansing,,Michigan,Ingham County,United States,
Las Vegas Metropolitan Police Department,"Nevada, USA",Fremont Corridor Initiative,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-30.pdf,Submission,pdf,36.171563,-115.1391009,"Las Vegas, NV, USA",ChIJ0X31pIK3voARo3mz1ebVzDo,"locality,political",,,Las Vegas,,Nevada,Clark County,United States,
Las Vegas Metropolitan Police Department,"Nevada, USA",Safe Village Initiative,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-31.pdf,Submission,pdf,36.171563,-115.1391009,"Las Vegas, NV, USA",ChIJ0X31pIK3voARo3mz1ebVzDo,"locality,political",,,Las Vegas,,Nevada,Clark County,United States,
Las Vegas Metropolitan Police Department,"Nevada, USA",Top 7 Apartment Initiative,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-32.pdf,Submission,pdf,36.171563,-115.1391009,"Las Vegas, NV, USA",ChIJ0X31pIK3voARo3mz1ebVzDo,"locality,political",,,Las Vegas,,Nevada,Clark County,United States,
Las Vegas Metropolitan Police Department,"Nevada, USA",Biegger Estates / Miller Plaza Project,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-31.pdf,Submission,pdf,36.171563,-115.1391009,"Las Vegas, NV, USA",ChIJ0X31pIK3voARo3mz1ebVzDo,"locality,political",,,Las Vegas,,Nevada,Clark County,United States,
Las Vegas Metropolitan Police Department,"Nevada, USA",Driveby Shooting Reduction Project,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-36.pdf,Submission,pdf,36.171563,-115.1391009,"Las Vegas, NV, USA",ChIJ0X31pIK3voARo3mz1ebVzDo,"locality,political",,,Las Vegas,,Nevada,Clark County,United States,
Las Vegas Metropolitan Police Department,"Nevada, USA",Summons Program Project,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-33.pdf,Submission,pdf,36.171563,-115.1391009,"Las Vegas, NV, USA",ChIJ0X31pIK3voARo3mz1ebVzDo,"locality,political",,,Las Vegas,,Nevada,Clark County,United States,
Las Vegas Metropolitan Police Department,"Nevada, USA",Weeks Plaza Initiative,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-34.pdf,Submission,pdf,36.171563,-115.1391009,"Las Vegas, NV, USA",ChIJ0X31pIK3voARo3mz1ebVzDo,"locality,political",,,Las Vegas,,Nevada,Clark County,United States,
Las Vegas Metropolitan Police Department,"Nevada, USA",Project One Neighborhood for Everyone,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-38.pdf,Submission,pdf,36.171563,-115.1391009,"Las Vegas, NV, USA",ChIJ0X31pIK3voARo3mz1ebVzDo,"locality,political",,,Las Vegas,,Nevada,Clark County,United States,
